id,property_incident_id,subject_id,relationship,data,created_at,updated_at
65,6698,141,purchased,{},2026-07-13 14:11:22 -0400,2026-07-13 14:11:22 -0400
66,6699,142,sold,{},2026-07-13 14:11:22 -0400,2026-07-13 14:11:22 -0400
67,6700,143,purchased,{},2026-07-13 14:11:22 -0400,2026-07-13 14:11:22 -0400
68,5417,68,mentioned_in,{},2026-07-13 14:11:29 -0400,2026-07-13 14:11:29 -0400
70,5494,18,mentioned_in,{},2026-07-13 14:11:29 -0400,2026-07-13 14:11:29 -0400
71,5494,145,owned,{},2026-07-13 14:11:30 -0400,2026-07-13 14:11:30 -0400
72,5494,146,owned,{},2026-07-13 14:11:30 -0400,2026-07-13 14:11:30 -0400
73,5494,147,owned,{},2026-07-13 14:11:30 -0400,2026-07-13 14:11:30 -0400
74,5494,148,owned,{},2026-07-13 14:11:30 -0400,2026-07-13 14:11:30 -0400
75,5494,149,owned,{},2026-07-13 14:11:30 -0400,2026-07-13 14:11:30 -0400
76,5493,149,owned,{},2026-07-13 14:11:30 -0400,2026-07-13 14:11:30 -0400
77,5419,68,mentioned_in,{},2026-07-13 14:11:39 -0400,2026-07-13 14:11:39 -0400
79,5420,98,operated_at,{},2026-07-13 14:11:39 -0400,2026-07-13 14:11:39 -0400
80,5420,99,mentioned_in,{},2026-07-13 14:11:39 -0400,2026-07-13 14:11:39 -0400
81,5497,108,owned,{},2026-07-13 14:11:39 -0400,2026-07-13 14:11:39 -0400
82,5497,110,owned,{},2026-07-13 14:11:39 -0400,2026-07-13 14:11:39 -0400
83,5497,109,owned,{},2026-07-13 14:11:40 -0400,2026-07-13 14:11:40 -0400
84,5497,101,owned,{},2026-07-13 14:11:40 -0400,2026-07-13 14:11:40 -0400
85,5497,98,owned,{},2026-07-13 14:11:40 -0400,2026-07-13 14:11:40 -0400
86,5497,141,owned,{},2026-07-13 14:11:40 -0400,2026-07-13 14:11:40 -0400
87,5497,122,purchased,"{""source_relationship"":""acquired""}",2026-07-13 14:11:40 -0400,2026-07-22 18:37:08 -0400
88,5497,1,purchased,"{""source_relationship"":""acquired""}",2026-07-13 14:11:40 -0400,2026-07-22 18:37:08 -0400
89,5010,1,purchased,"{""source_relationship"":""acquired""}",2026-07-13 14:11:40 -0400,2026-07-22 18:37:09 -0400
90,5421,68,mentioned_in,{},2026-07-13 14:11:45 -0400,2026-07-13 14:11:45 -0400
91,5422,84,operated_at,"{""source_relationship"":""operated""}",2026-07-13 14:11:45 -0400,2026-07-22 18:34:15 -0400
92,5500,150,owned,{},2026-07-13 14:11:45 -0400,2026-07-13 14:11:45 -0400
93,5500,151,owned,{},2026-07-13 14:11:45 -0400,2026-07-13 14:11:45 -0400
94,5500,152,purchased,"{""source_relationship"":""acquired_via_condemnation""}",2026-07-13 14:11:45 -0400,2026-07-22 18:35:07 -0400
95,5423,68,mentioned_in,{},2026-07-13 14:11:49 -0400,2026-07-13 14:11:49 -0400
96,5425,68,mentioned_in,{},2026-07-13 14:11:53 -0400,2026-07-13 14:11:53 -0400
97,5503,152,purchased,"{""source_relationship"":""received_deed""}",2026-07-13 14:11:53 -0400,2026-07-22 18:38:15 -0400
98,5427,68,mentioned_in,{},2026-07-13 14:11:57 -0400,2026-07-13 14:11:57 -0400
99,5428,46,mentioned_in,{},2026-07-13 14:11:57 -0400,2026-07-13 14:11:57 -0400
100,5429,68,mentioned_in,{},2026-07-13 14:12:01 -0400,2026-07-13 14:12:01 -0400
101,5506,152,mentioned_in,{},2026-07-13 14:12:01 -0400,2026-07-13 14:12:01 -0400
102,5431,68,mentioned_in,{},2026-07-13 14:12:05 -0400,2026-07-13 14:12:05 -0400
103,10622,68,depicted_in,"{""source_relationship"":""depicted_on""}",2026-07-13 14:12:05 -0400,2026-07-22 18:35:03 -0400
104,5433,68,mentioned_in,{},2026-07-13 14:12:10 -0400,2026-07-13 14:12:10 -0400
106,5434,153,lived_at,{},2026-07-13 14:12:10 -0400,2026-07-13 14:12:10 -0400
107,5434,154,lived_at,{},2026-07-13 14:12:10 -0400,2026-07-13 14:12:10 -0400
108,5434,155,lived_at,{},2026-07-13 14:12:10 -0400,2026-07-13 14:12:10 -0400
109,5509,152,owned,{},2026-07-13 14:12:10 -0400,2026-07-13 14:12:10 -0400
110,5509,156,owned,{},2026-07-13 14:12:10 -0400,2026-07-13 14:12:10 -0400
111,5435,68,mentioned_in,{},2026-07-13 14:12:14 -0400,2026-07-13 14:12:14 -0400
112,5437,68,mentioned_in,{},2026-07-13 14:12:21 -0400,2026-07-13 14:12:21 -0400
113,5438,157,lived_at,{},2026-07-13 14:12:21 -0400,2026-07-13 14:12:21 -0400
114,5438,158,worked_at,{},2026-07-13 14:12:21 -0400,2026-07-13 14:12:21 -0400
115,5438,159,worked_at,{},2026-07-13 14:12:21 -0400,2026-07-13 14:12:21 -0400
116,5512,160,owned,{},2026-07-13 14:12:21 -0400,2026-07-13 14:12:21 -0400
117,5512,161,owned,{},2026-07-13 14:12:21 -0400,2026-07-13 14:12:21 -0400
118,5512,152,owned,{},2026-07-13 14:12:21 -0400,2026-07-13 14:12:21 -0400
119,5512,162,owned,{},2026-07-13 14:12:21 -0400,2026-07-13 14:12:21 -0400
120,5512,163,owned,{},2026-07-13 14:12:21 -0400,2026-07-13 14:12:21 -0400
121,5439,68,mentioned_in,{},2026-07-13 14:12:24 -0400,2026-07-13 14:12:24 -0400
122,5441,68,mentioned_in,{},2026-07-13 14:12:29 -0400,2026-07-13 14:12:29 -0400
123,5515,163,mentioned_in,{},2026-07-13 14:12:30 -0400,2026-07-13 14:12:30 -0400
124,5515,162,mentioned_in,{},2026-07-13 14:12:30 -0400,2026-07-13 14:12:30 -0400
125,5443,68,mentioned_in,{},2026-07-13 14:12:34 -0400,2026-07-13 14:12:34 -0400
126,5444,20,mentioned_in,{},2026-07-13 14:12:34 -0400,2026-07-13 14:12:34 -0400
127,5445,68,mentioned_in,{},2026-07-13 14:12:39 -0400,2026-07-13 14:12:39 -0400
128,5518,163,mentioned_in,{},2026-07-13 14:12:39 -0400,2026-07-13 14:12:39 -0400
129,5518,162,mentioned_in,{},2026-07-13 14:12:39 -0400,2026-07-13 14:12:39 -0400
130,5447,68,mentioned_in,{},2026-07-13 14:12:45 -0400,2026-07-13 14:12:45 -0400
131,5448,57,mentioned_in,{},2026-07-13 14:12:45 -0400,2026-07-13 14:12:45 -0400
132,5521,152,sold,{},2026-07-13 14:12:45 -0400,2026-07-13 14:12:45 -0400
133,5521,163,mentioned_in,{},2026-07-13 14:12:45 -0400,2026-07-13 14:12:45 -0400
134,5449,68,mentioned_in,{},2026-07-13 14:12:50 -0400,2026-07-13 14:12:50 -0400
136,5450,164,operated_at,"{""source_relationship"":""operated""}",2026-07-13 14:12:50 -0400,2026-07-22 18:34:15 -0400
137,5450,165,worked_at,{},2026-07-13 14:12:50 -0400,2026-07-13 14:12:50 -0400
138,5524,166,owned,{},2026-07-13 14:12:51 -0400,2026-07-13 14:12:51 -0400
139,5524,167,owned,{},2026-07-13 14:12:51 -0400,2026-07-13 14:12:51 -0400
140,5524,168,owned,{},2026-07-13 14:12:51 -0400,2026-07-13 14:12:51 -0400
141,5524,169,owned,{},2026-07-13 14:12:51 -0400,2026-07-13 14:12:51 -0400
142,5524,170,owned,{},2026-07-13 14:12:51 -0400,2026-07-13 14:12:51 -0400
